['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['d+', '*', '*', '*', 'd+', '*', '*', 'r+'] RUU RUU
['*', '*', '*', 't+', '*', 'c+', 't+', 'd+'] RUU RUU
['p+', '*', 't+', '*', 't+', '*', '*', 'a+'] RDD RDD
['d+', '*', 'r+', '-', '*', 't+', '*', '-'] LLD LLD
['-', '*', 'p+', 't+', '*', '*', 'p+', 'r+'] RUU RUU
['t+', '*', '*', '*', '*', '-', 't+', '*'] RRU RRU
['p+', '*', '*', '*', '*', '-', '*', '*'] LUU LUU
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['t+', '*', 'a+', '*', '*', '*', '*', 'd+'] RUU RUU
['d+', 'c+', '*', '*', '-', '*', 'a+', '*'] LUU LUU
['c+', 'd+', 'p+', '*', 'c+', '*', 'p+', '-'] LLU LLU
['*', 'a+', 'c+', 'p+', 'a+', 'a+', 'c+', '-'] RRD RRD
['*', 'd+', 'a+', 't+', '*', 'r+', 'c+', '*'] RRD RRD
['r+', 'a+', '*', '-', '*', 'c+', '*', '*'] LUU LUU
['t+', '*', 'p+', '*', 'a+', '*', 'a+', '*'] LUU LUU
['*', '*', 'p+', 'a+', '*', 't+', 't+', '*'] RRU RRU
['*', '-', '*', '*', 'a+', '*', 'd+', 'a+'] RRU RRU
['c+', '*', '*', '*', 'a+', 'a+', 'r+', '*'] RRU RRU
['t+', '*', '*', 'a+', 'r+', '*', '*', 'c+'] RDD RDD
['p+', '-', '-', '*', '*', 't+', 't+', 'd+'] RUU RUU
['r+', '-', '*', 't+', '*', '*', 'a+', 'c+'] LUU LUU
['*', '-', 'd+', '*', '*', '*', 'a+', '*'] LLD LLD
['c+', 'r+', 'c+', 'a+', 'c+', 'd+', '-', '*'] LLU LLU
['-', '*', 'p+', '*', 'a+', '*', 'p+', '*'] RDD RDD
['*', '-', 'r+', '*', 't+', 'c+', '*', 'c+'] LLD LLD
['*', '*', 'p+', '-', 'd+', 'c+', 'r+', 'r+'] RUU RUU
['-', '*', '*', '*', 't+', 't+', 'a+', '*'] RRD RRD
['p+', '*', 'p+', 'd+', '*', 'd+', '*', 'r+'] RUU RUU
['*', 'd+', '*', '*', '*', 't+', 'a+', 'a+'] LLU LLU
['*', 't+', '*', 'd+', '*', '*', '*', 'c+'] LDD LDD
['*', 't+', '*', '*', 'a+', '*', '*', '*'] LLU LLU
['p+', '*', 'c+', 'a+', 'r+', 't+', 'r+', '*'] RRU RRU
['*', 'c+', '*', 'd+', 'r+', 'p+', '*', 'd+'] RDD RDD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['t+', 't+', 'a+', 'c+', '*', '*', '*', '*'] LLU LLU
['d+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['r+', 'p+', '*', '*', 'p+', 'r+', '-', '*'] RRD RRD
['*', 't+', '-', 'c+', 'r+', 'r+', '*', 'r+'] RUU RUU
['*', '*', '*', 'c+', '*', '*', '*', 'p+'] LDD LDD
['*', '*', 'a+', '*', '*', 'c+', 'a+', '*'] RRU RRU
['*', 'd+', '*', '-', '*', 't+', '*', '*'] LLU LLU
['*', '*', 'a+', 'r+', '*', 'p+', 't+', '*'] LDD LDD
['c+', '*', '*', '*', '*', '*', 'a+', 't+'] RUU RUU
['*', 'p+', '*', 'p+', '*', '*', '-', 'p+'] RUU LDD
['c+', 't+', '*', 'c+', '*', 'r+', 'r+', '*'] RRU RRU
['-', 'r+', '*', 'p+', '*', '*', '-', '*'] LLU LLU
['r+', '*', 'r+', '*', '*', '*', 't+', '*'] LLD LLD
['*', 'a+', 'd+', 'c+', 'd+', '*', 'a+', '*'] RDD RDD
['*', 'a+', '*', '*', '-', 'c+', '*', '*'] LLU LLU
['*', '*', 'a+', 't+', '*', '*', 'p+', '*'] LDD LDD
['*', 't+', 'r+', '*', '*', 'a+', '*', '*'] LLD LLD
['c+', '*', 'c+', '*', 'a+', '*', '*', '*'] RDD RDD
['*', 'd+', '*', '*', 'd+', '*', '*', 'r+'] RUU RUU
['*', '*', '*', 'r+', 'c+', 'c+', 'r+', '*'] RRU RRU
['c+', '*', '*', 'd+', '*', '*', 't+', 'a+'] LDD LDD
['*', 't+', '*', 'a+', '*', 't+', '*', 'c+'] RRD RRD
['*', '*', '*', 'p+', '*', '*', '*', '*'] LDD LDD
['*', 'd+', 't+', '*', '-', '*', '*', 'p+'] LLU LLU
['r+', 'r+', '-', '*', '*', 'd+', 't+', '*'] LLU LLU
['*', 'a+', 'p+', '*', '*', '*', '*', '*'] LLU LLU
['*', '*', 'c+', 'a+', 'p+', 'd+', '*', '*'] RRD RRD
['*', 'a+', '*', '-', 'p+', '-', '*', 't+'] RUU RUU
['p+', '*', '*', '*', '*', '*', '*', 'p+'] RUU LUU
['a+', '*', '*', 'd+', '*', 'p+', '-', '*'] LDD LDD
['r+', 't+', 'c+', 'd+', '*', 'p+', 't+', '-'] LUU LUU
['*', '*', '*', 'r+', '*', 'p+', 't+', '*'] LDD LDD
['c+', '*', 'p+', '*', '*', '*', '-', 'a+'] RUU RUU
['*', '*', 'p+', 'p+', '-', 'r+', 't+', '*'] RRD RRD
['t+', '*', 'a+', '*', '-', 'a+', 'd+', '*'] RRU RRU
['*', '*', '*', 'p+', '*', '*', 'd+', '*'] RRU RRU
['*', '*', '*', 'd+', '*', '*', 'r+', '*'] RRU RRU
['t+', '*', '*', '*', '*', 'c+', 'r+', 'c+'] RRU RRU
['*', '*', 'd+', 'a+', 'd+', '*', 't+', 't+'] RDD RDD
['*', '*', '*', '-', '*', '*', '*', 'c+'] RUU RUU
['*', '*', '*', 'c+', '*', 'p+', '*', '*'] LDD LDD
['c+', '*', 'a+', '*', '*', 'r+', 't+', 'd+'] RRD RRD
['*', 't+', '-', '*', 'p+', 'r+', '*', '*'] RRD RRD
['*', '-', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['*', 'p+', '*', '*', '*', '*', 'r+', '-'] RRU RRU
['*', '*', 'r+', 'p+', '*', 'a+', '*', '-'] LLD LLD
['-', 't+', '*', 'a+', '*', '*', '*', 'r+'] RUU RUU
['d+', 'a+', 't+', 'a+', '*', '*', 'c+', 'c+'] LUU LUU
['*', 'p+', '*', '*', 'd+', 'c+', 'r+', 't+'] RRU RRU
['*', 'c+', '*', 't+', '*', '*', '-', '*'] LDD LDD
['r+', 't+', 'p+', '*', 'p+', '*', 't+', '*'] LUU LUU
['r+', '*', '-', '*', 'r+', '*', '*', '*'] RDD RDD
['*', '*', 'p+', 'c+', 't+', 'd+', 'd+', '*'] RRU RRU
['d+', '*', 'r+', 't+', 'p+', 'a+', 't+', 'p+'] LLD LLD
['*', '*', 'c+', '-', '*', '*', '*', 'd+'] RUU RUU
['*', 'r+', 't+', '*', 'r+', '*', 'r+', '*'] RRU RRU
['*', 'c+', 'a+', 'd+', 'r+', '*', '*', 'p+'] RDD RDD
['*', '-', 'r+', '*', 'd+', 'c+', '*', 'r+'] RUU RUU
['r+', '*', '*', '*', 'r+', 't+', '-', 'c+'] RDD RDD
['r+', 'c+', '*', '*', '*', '*', 'r+', '*'] RRU RRU
['r+', '*', 'r+', 't+', '*', 'a+', '*', 'd+'] LLD LLD
['r+', 't+', '*', '-', '*', '*', '*', 'a+'] LUU LUU
['t+', '*', '*', 'r+', 't+', 'r+', '*', 'r+'] RUU RUU
['*', 'r+', '*', '*', '*', '*', '-', '*'] LLU LLU
['d+', '-', 't+', '-', '-', '*', 'r+', 'r+'] RUU RUU
['*', '*', '*', '*', 'd+', 't+', '*', '*'] RDD RDD
['*', 'c+', 'a+', 'p+', 'a+', 'd+', 'r+', '*'] RRU RRU
['*', '*', '*', '*', '*', '*', 'a+', 'r+'] RUU RUU
['*', '*', 't+', '*', 'p+', '*', 'p+', '*'] LLD LLD
['c+', 'p+', 't+', '*', 'd+', '*', '*', '*'] RDD RDD
['p+', 't+', '-', 'p+', 'c+', 'r+', '-', '*'] RRD RRD
['d+', '-', '-', '*', '*', 'c+', '*', 'd+'] RUU RUU
['*', '-', 'c+', '*', 'p+', '*', '*', '*'] LLD LLD
['*', 'c+', '*', '*', 'c+', '*', '*', 't+'] RUU RUU
['p+', '*', 'a+', '*', '*', 't+', 'r+', '*'] RRU RRU
['*', '*', '*', '*', 'c+', 'a+', 'a+', '*'] RRU RRU
['-', 'p+', '*', '*', '-', '*', '*', 'r+'] RUU RUU
['*', '*', 'p+', 't+', '*', '*', '*', 't+'] RUU RUU
['c+', 'p+', '-', 't+', 'p+', 't+', 'a+', '*'] RRD RRD
['*', '*', 'c+', 'd+', '*', '*', 'r+', 'c+'] RRU RRU
['*', 'a+', 'a+', '*', 'p+', 'd+', '*', '*'] RRD RRD
['c+', '*', 'd+', '*', 'c+', '*', 'a+', 't+'] LLD LLD
['a+', '*', 't+', 't+', '*', '*', '*', '*'] LDD LDD
['a+', '*', '*', '*', 't+', '*', '*', 'd+'] RUU RUU
['c+', '-', 'c+', '*', '*', 'p+', '-', '*'] LLD LLD
['*', '*', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['t+', 'r+', '*', 'a+', '*', 'd+', '-', '*'] LLU LLU
['*', '*', '*', '*', '-', '*', 't+', 'p+'] RRU RRU
['*', 'p+', '*', '*', 'a+', 'd+', '*', 'a+'] RRD RRD
['c+', 'r+', '*', 'r+', '*', '*', '*', '-'] LDD LDD
['t+', '*', 'd+', '*', '*', '*', '*', '*'] LLD LLD
['*', 'd+', '*', '*', 'p+', '*', '*', '*'] LLU LLU
['*', '*', 't+', '*', '*', '*', 'c+', '*'] LLD LLD
['*', '*', 'a+', 't+', '-', 'a+', '*', '*'] LDD LDD
['c+', 'a+', 'c+', 'p+', '*', 'a+', '*', 'c+'] RRD RRD
['a+', 'd+', 'a+', '*', '*', '*', 't+', '*'] LLU LLU
['*', 'c+', 'r+', 'c+', '-', 'p+', '*', '-'] LLD LLD
['a+', '-', 'c+', '*', 'd+', '*', '*', 'c+'] RDD RDD
['c+', '*', '*', 'd+', '-', '*', '*', '*'] LDD LDD
['*', 'a+', '*', 'c+', 'r+', 'p+', '*', 'p+'] RDD RDD
['*', '*', '-', '*', '*', 'a+', '*', '*'] RRD RRD
['t+', '-', 'p+', 'd+', 'r+', 'p+', '-', 'c+'] RDD RDD
['t+', 'a+', '*', '*', 'a+', 'd+', 'p+', '*'] RRD RRD
['-', 'a+', '*', '*', 'a+', '*', '-', 'a+'] RUU RUU
['t+', 'a+', 't+', '*', 'r+', '*', '*', '*'] RDD RDD
['*', 'a+', 'a+', 'r+', '*', '*', 'c+', 'r+'] RUU RUU
['t+', '*', '*', '*', '*', 't+', '*', 'p+'] RRD RRD
['r+', '*', '-', '*', 't+', '*', '*', 'p+'] LUU LUU
['*', '*', 't+', 'd+', '*', 'd+', 'd+', '*'] RRU RRU
['*', '*', '*', 'd+', '*', 'p+', '*', '*'] LDD LDD
['*', '-', '-', '*', 'p+', 'c+', '*', '-'] RRD RRD
['*', 'd+', '*', 'r+', 'p+', 't+', '*', 'd+'] LDD LDD
['d+', '*', 'c+', 'c+', '*', '*', '*', '-'] LUU LUU
['a+', 'c+', '*', '*', '*', '*', '*', '*'] LUU LLU
['*', '*', '*', 'c+', '*', '*', '*', 'c+'] RUU RUU
['-', '*', '*', '*', 'd+', '*', 'r+', 'c+'] RRU RRU
['c+', '*', '*', '*', '-', 'c+', '*', '*'] RRD RRD
['t+', 't+', 't+', '*', '*', 'r+', '*', '*'] RRD RRD
['c+', 'c+', '*', 'r+', '*', '*', '-', '*'] LDD LDD
['d+', '*', '*', '*', 't+', '-', 'a+', '*'] LUU LUU
['-', 't+', '*', '*', '*', '*', 't+', '*'] RRU RRU
['-', '-', 'd+', 'c+', '*', '*', '*', '*'] LLD LLD
['a+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['a+', 'c+', '*', 'r+', '*', 'r+', '*', '*'] RRD RRD
['d+', '*', '*', '*', '-', '*', '*', '*'] LUU LUU
['r+', '*', 'a+', '*', 'c+', '*', 't+', '*'] LUU LUU
['*', '*', '-', '*', '*', '*', '*', '*'] LLD LLD
['*', 't+', '*', 'p+', 'r+', '*', 'a+', '-'] RDD RDD
['d+', '-', '*', '*', '-', 'r+', '*', 'p+'] RRD RRD
['t+', '*', '*', 'a+', 'r+', 'a+', 'r+', 'd+'] RRU RRU
['*', '*', 'r+', 'p+', 'd+', '-', '*', '*'] LLD LLD
['c+', '*', '*', '*', 'p+', 'r+', 'p+', '*'] RRD RRD
['*', 'c+', '*', '*', '*', '-', 'r+', 'c+'] RRU RRU
['p+', 'r+', 'a+', '*', '*', '*', 'p+', 'p+'] LLU LLU
['*', 'a+', '*', '*', '*', 't+', 'd+', 'd+'] RUU RUU
['*', 'a+', '*', 'd+', '*', 'd+', '*', '*'] RRD RRD
['*', 'a+', 'r+', '*', '*', 'a+', '*', '*'] LLD LLD
['*', 'a+', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['-', '*', '*', '*', '*', '*', 't+', 'r+'] RUU RUU
['r+', '*', '*', '*', '*', '-', '*', '*'] LUU LUU
['*', '*', 't+', 'c+', '*', '-', 'r+', '*'] RRU RRU
['c+', 'd+', '*', '*', '*', 'c+', '*', '*'] LLU LLU
['*', 'c+', 't+', '*', '-', '*', 't+', 'r+'] RUU RUU
['a+', '*', 'd+', 'p+', '*', '*', '*', 'a+'] LLD LLD
['c+', 'c+', 'p+', 'd+', 'a+', '*', 'r+', '*'] RRU RRU
['*', '*', 'd+', '*', 't+', '*', '*', 'd+'] RUU RUU
['*', '*', '*', 'd+', '*', '-', '*', 'a+'] LDD LDD
['t+', '*', 'c+', 'p+', '*', '*', '*', 'c+'] LUU LUU
['d+', '*', 'c+', '*', 'c+', '*', 'r+', '*'] RRU RRU
['r+', 'r+', '*', '*', '*', 'r+', 'a+', '*'] RRD RRD
['*', '*', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['*', '*', 'c+', 't+', '*', '*', '*', '-'] LDD LDD
['r+', '*', 't+', '*', '-', '-', '*', '*'] LUU LUU
['*', 'd+', '*', 'a+', '*', 'p+', '*', '*'] LLU LLU
['-', '*', 't+', 'd+', 'a+', '*', '*', 'c+'] LDD LDD
['*', '*', '*', 'p+', 'a+', 't+', '*', '*'] RRD RRD
['*', 'p+', '*', 'r+', '*', 'c+', 'a+', '-'] LDD LDD
['-', 'r+', 'a+', 'a+', 'a+', '-', '-', 'd+'] LLU LLU
['d+', 'r+', 'p+', '*', 'c+', '*', 't+', 'p+'] LLU LLU
['-', 'p+', 'c+', 'p+', '*', '-', '*', '-'] LLD LLD
['*', '-', '*', 'r+', 'a+', 'd+', '*', '*'] LDD LDD
['c+', 'd+', '-', '*', 'a+', '*', 'p+', 'r+'] RUU RUU
['c+', '*', 'a+', '*', 't+', 'p+', '*', '*'] RDD RDD
['*', '-', '-', 'd+', '*', 'p+', '*', 'c+'] LDD LDD
['a+', '-', '-', 'c+', '*', '*', 't+', '-'] RRU RRU
['c+', '*', '*', '*', 'c+', 'p+', 'c+', '*'] RRU RRU
['c+', 'a+', '*', 'd+', 'p+', '*', '*', 'a+'] LDD LDD
['*', '-', 't+', 'p+', 'c+', '*', 'p+', '*'] LLD LLD
['*', '*', 'c+', '*', '*', '*', 't+', '*'] RRU RRU
['t+', '*', '*', 'd+', 'p+', '*', 'a+', '*'] LDD LDD
['p+', 'c+', 'p+', '*', '*', 'r+', 'p+', 'r+'] RUU RUU
['p+', 'd+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', '-', 'a+', 'c+', '*', 'a+', 'r+', 'a+'] RRU RRU
['r+', '*', '-', '*', '*', 't+', '*', 'p+'] LUU LUU
['a+', '*', '*', 'r+', '*', 'a+', '*', '*'] LDD LDD
['*', '*', '*', 'a+', '*', 'c+', 't+', '-'] RRU RRU
['*', '*', '*', 't+', '-', '*', 'p+', 'p+'] LDD LDD
['*', '*', '*', 'd+', 'c+', '*', '*', 'p+'] LDD LDD
['*', '*', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['a+', '*', '*', 'p+', '*', '*', 'p+', 't+'] RUU RUU
['c+', 'c+', '*', '*', '-', '-', '*', '*'] LLU LLU
['p+', '*', '-', 't+', '*', 'c+', 'c+', '*'] LDD LDD
['d+', '*', '*', 't+', 'a+', 'r+', 'r+', '*'] RRU RRU
['*', 'a+', 't+', 'c+', 'r+', '*', '*', 'd+'] RDD RDD
['p+', '*', '*', '*', 'r+', '*', 'p+', '*'] RDD RDD
['*', '*', 'd+', '*', '*', '*', '*', 'a+'] LLD LLD
['t+', '-', '*', '*', '*', '*', 'p+', '*'] LUU LUU
['t+', '*', '*', '*', 'r+', '*', '-', 'p+'] RDD RDD
['*', 't+', 'r+', 'r+', 'd+', '*', '-', '*'] LDD LDD
['*', '*', 'd+', 't+', '*', '*', '*', '*'] LLD LLD
['*', '*', 'r+', 'p+', '*', '*', '*', '*'] LLD LLD
['-', 't+', '*', 'c+', 'c+', '*', '-', 't+'] RUU RUU
['*', 'c+', 'd+', '*', '-', '*', '-', '*'] LLD LLD
['p+', '*', 'p+', '*', 'd+', 'a+', 'd+', '*'] RRU RRU
['c+', 'c+', '*', 'r+', '*', '*', 'p+', '*'] LDD LDD
['-', 'a+', 'p+', '*', 'd+', '*', 'p+', 'c+'] RDD RDD
['*', '*', '*', 'p+', '*', '*', '*', 'd+'] RUU RUU
['*', '*', 'a+', 'c+', 'c+', 'c+', '*', '*'] LLD LLD
['*', 'r+', '*', '-', 'p+', 'p+', '*', '*'] LLU LLU
['*', '*', '*', 'c+', 'c+', 'a+', 't+', '*'] RRU RRU
['*', '*', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['t+', '*', 'r+', '*', '*', '*', '-', '*'] LLD LLD
['a+', 'c+', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', 'r+', '*', '*', 'c+', '*'] LDD LDD
['c+', '*', '-', '*', '*', '*', '*', '*'] LUU LUU
['t+', '*', 't+', '-', '*', '*', 'd+', 'a+'] RRU RRU
['a+', '*', '*', '*', '*', '*', 'a+', 'r+'] RUU RUU
['a+', 'd+', '*', 'p+', 'd+', 'p+', '*', '*'] RDD RDD
['*', 'p+', '*', 'd+', 'd+', 't+', '*', '*'] RDD RDD
['*', 'r+', '*', '*', 'd+', 'p+', 'c+', '*'] LLU LLU
['*', 't+', 'c+', '*', '-', '*', '*', 'r+'] RUU RUU
['d+', 'p+', '*', '*', 't+', '*', '*', '*'] LUU LUU
['*', 'c+', 't+', 'p+', '*', '*', '*', '*'] LLD LLD
['d+', '*', '*', 'r+', '*', 'r+', '-', '*'] RRD RRD
['-', 'r+', 'p+', 'd+', 'a+', 't+', '*', '*'] LLU LLU
['d+', '*', 'a+', '*', '*', '*', '*', '*'] LUU LUU
['p+', '*', '*', '*', 'c+', 'a+', 'r+', '*'] RRU RRU
['*', '*', '*', 'p+', '*', '-', 'p+', '*'] RRU RRU
['-', '*', 'd+', '*', '*', '*', '*', 't+'] LLD LLD
['t+', '*', 'c+', 'c+', 'r+', '*', 'd+', 'd+'] RDD RDD
['t+', '*', '*', 't+', 'a+', '*', 'r+', '*'] RRU RRU
['r+', 'r+', 'r+', 'r+', '-', 't+', '*', 'p+'] LDD LDD
['d+', 'a+', 'r+', '*', 'd+', 'r+', 'a+', '*'] RRD RRD
['p+', '*', '*', 'p+', '*', '*', 'a+', '*'] RRU RRU
['*', '*', '*', '*', '*', '*', '*', 'd+'] RUU RUU
['*', '*', 'a+', 'd+', 'c+', '*', 'p+', '*'] LDD LDD
['*', '-', 'r+', '*', 'r+', 't+', 't+', 'd+'] RDD RDD
['*', '*', 'a+', 'a+', 'c+', '-', '*', '*'] LDD LLD
['-', '*', 'p+', 't+', '*', '*', 'c+', 'd+'] RUU RUU
['*', 'c+', 'c+', '*', 't+', '*', 'd+', 'd+'] RUU RUU
['*', '*', '*', 'p+', 't+', '*', '*', 'a+'] RDD RDD
['*', '*', '*', 'a+', 'd+', '*', '*', 'a+'] RDD RDD
['*', '-', 'r+', 'r+', 'r+', '*', '*', 'p+'] RDD RDD
['p+', 'p+', '*', 'c+', 'c+', '-', '-', 'd+'] RUU RUU
['*', 'd+', '*', '*', '*', 'a+', '*', '*'] LLU LLU
['p+', 'p+', '*', 'd+', 'r+', 'a+', '*', '*'] RDD RDD
['a+', '*', 'd+', '*', 'r+', '-', '*', '*'] RDD RDD
['r+', '*', '*', 'c+', '*', '*', 'a+', '*'] LUU LUU
['a+', 'c+', '-', 'd+', 'd+', '*', '*', 'd+'] RUU RUU
['*', '*', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['t+', '*', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['a+', '*', 'r+', 'c+', 't+', '*', 'a+', 't+'] LLD LLD
['*', '-', 'a+', '*', '*', '*', 'c+', '*'] LLD LLD
['-', 'c+', 'd+', '*', '*', '*', '*', '*'] LLD LLD
['-', '*', 'p+', 't+', '*', '*', '*', '*'] LDD LDD
['*', 'p+', 'a+', 'c+', '*', '-', '*', '*'] LLD LLD
['-', 'c+', '*', '*', '-', '*', 'r+', 't+'] RRU RRU
['a+', '-', 'p+', '*', '-', 'c+', 'r+', 'r+'] RUU RUU
['*', 'p+', 'c+', '*', 't+', 'c+', 'c+', '*'] RDD RDD
['*', '*', '*', 'p+', 'a+', '*', '*', '*'] RDD RDD
['r+', '*', 'r+', '*', 'c+', 'r+', 'a+', '*'] RRD RRD
['c+', '*', '*', 't+', '*', '*', '-', 'a+'] LDD LDD
['*', 'r+', 'p+', 'r+', '*', '*', 'a+', 'c+'] LDD LDD
['t+', '*', '*', '*', 't+', '*', 'r+', '*'] RRU RRU
['r+', 'r+', '*', '*', 'd+', '*', '*', '*'] LLU LLU
['a+', 'd+', 'd+', '*', '*', '*', '*', '*'] LLD LLD
['d+', '*', '*', 'd+', '-', '*', '-', 'c+'] LDD LDD
['p+', '*', 't+', 'p+', '*', '-', '*', '*'] LLD LLD
['d+', 'p+', '*', 'd+', '*', '-', '*', '*'] LDD LDD
['*', '*', '*', 't+', '*', 't+', '*', 'p+'] RRD RRD
['-', 'd+', '*', 't+', '*', 'p+', 'r+', '*'] RRU RRU
['*', 'c+', '*', 'd+', '*', 'c+', 'c+', '*'] LDD LDD
['a+', '-', 'a+', '-', 'a+', '*', '*', '*'] RDD RDD
['d+', '*', '*', 'r+', '*', 'r+', '*', '*'] RRD RRD
['t+', '*', '*', '*', 'c+', 'd+', '*', 'c+'] RRD RRD
['*', '*', '*', '*', 'c+', '*', 'c+', 'r+'] RUU RUU
['a+', 'a+', '*', '*', 'd+', 't+', 'a+', 'a+'] RDD RDD
['*', '*', '*', 'c+', '*', 't+', '*', '*'] RRD RRD
['*', '*', 'r+', '-', '-', '-', '*', '*'] LLD LLD
['*', 'p+', '*', '*', '*', '-', 'd+', 'r+'] RUU RUU
['c+', 'p+', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'a+', '-', '*', 't+', 'r+', 'r+', '*'] RRU RRU
['c+', '*', 't+', '*', 'r+', '*', '*', '*'] RDD RDD
['t+', '*', '*', 't+', '*', '*', '*', '*'] LDD LDD
['r+', '*', '*', 'd+', 'p+', 'p+', '*', '*'] LUU LUU
['t+', 't+', '-', '*', 'c+', '*', '*', 'r+'] RUU RUU
['*', '*', 'c+', 'p+', '*', '*', '*', 'r+'] RUU RUU
['*', 'c+', 'd+', '*', 't+', '*', '*', '*'] LLD LLD
['*', 'c+', '-', 'c+', '-', '*', 'd+', 'd+'] RUU RUU
['*', '*', 'r+', 'c+', '-', 'p+', '*', 'd+'] LLD LLD
['a+', 'd+', '*', 'a+', 'p+', '*', '*', 'c+'] LLU LLU
['*', '*', '-', '*', 'c+', '*', '*', '*'] RDD RDD
['r+', '*', 'c+', 't+', '*', 't+', '*', 't+'] LUU LUU
['d+', '*', '*', '-', '*', 'd+', '*', 'a+'] RRD RRD
['*', 'd+', 'c+', '*', '*', '*', 'p+', '-'] LLU LLU
['d+', 'p+', '*', '*', 'r+', '-', '*', '*'] RDD RDD
['*', 'a+', 'a+', '-', '*', 'r+', '-', 'c+'] RRD RRD
['*', 'p+', '-', '-', '*', 'c+', '*', '*'] RRD RRD
['t+', 'c+', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['*', '*', 'p+', '-', '*', 'p+', 'p+', '*'] RRU RRU
['r+', '*', '*', 'd+', 'c+', 'd+', '-', 't+'] LUU LUU
['*', '*', 'r+', 't+', 'p+', 'd+', '*', 'a+'] LLD LLD
['*', 'r+', 't+', 'c+', 'r+', 'd+', '*', '-'] RDD LLU
['t+', 't+', 'r+', 'r+', 'd+', '*', '*', 'c+'] LDD LDD
['-', 'c+', '*', '*', 'a+', '*', '*', 'r+'] RUU RUU
['*', '-', 't+', '*', '-', 'p+', '*', 'r+'] RUU RUU
['*', '*', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['d+', '*', '*', 'c+', '*', 'p+', 'a+', '*'] LUU LUU
['*', '*', 'c+', '*', '*', '*', '*', 'c+'] RUU RUU
['*', 'c+', '*', '*', 'r+', '*', '*', 'c+'] RDD RDD
['a+', '*', 'a+', '*', '-', 't+', '*', '*'] RRD RRD
['-', '*', 't+', 'p+', 'a+', '*', 'd+', 'a+'] RRU RRU
['*', 'd+', 'c+', '*', '-', '*', 'a+', 'd+'] RUU RUU
['*', 'p+', '*', '*', 'p+', 'p+', '-', '*'] RRD LLU
['*', '*', '*', 'd+', '*', '-', 'r+', '*'] RRU RRU
['r+', '*', '*', '*', 'd+', '*', '*', '*'] LUU LUU
['c+', 'r+', '*', '*', 't+', '*', 't+', 'p+'] LLU LLU
['-', '*', '*', '*', 'c+', 'p+', 'r+', '*'] RRU RRU
['*', '*', '*', '*', 't+', 'a+', '*', '*'] RDD RDD
['*', 'p+', 't+', 'p+', '*', '*', 'r+', '*'] RRU RRU
['r+', '*', 'p+', 'a+', '*', '*', 't+', '*'] LUU LUU
['p+', 't+', 'p+', 'p+', '*', '*', 't+', '*'] RRU RRU
['*', 'r+', '-', 'p+', '*', '-', '*', '*'] LLU LLU
['*', 't+', 'p+', '*', 'c+', '*', '*', 'c+'] LLU LLU
['*', '*', 't+', 'c+', '-', '*', 't+', 'r+'] RUU RUU
['c+', 'c+', 'c+', '*', '*', '*', '*', 'p+'] LLD LLD
['a+', '*', '*', 'r+', 'p+', '*', 'p+', '*'] LDD LDD
['c+', '*', '*', '*', '-', '*', '*', '*'] LUU LUU
['t+', '*', '*', '-', 'c+', '*', 'd+', '*'] RRU RRU
['*', 'r+', 'd+', '*', 'a+', '*', '*', '*'] LLU LLU
['a+', '-', 'a+', '*', 'a+', 'p+', 'r+', '*'] RRU RRU
['t+', 'a+', 'p+', 'c+', '*', '*', '*', 'p+'] LUU LUU
['*', '*', '-', '*', 'd+', '*', 'c+', 'c+'] RDD RDD
['a+', 'a+', 'd+', '-', '*', 'p+', '*', 't+'] LLD LLD
['c+', 'p+', 't+', '*', 't+', 'c+', 'p+', '*'] RDD RDD
['c+', '*', 'd+', '*', '*', 'c+', '*', 'c+'] LLD LLD
['d+', 'p+', '*', '*', 'c+', 'r+', '*', 'c+'] RRD RRD
['a+', '*', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', 'p+', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['*', 'c+', '*', '*', 'r+', 'p+', '*', '*'] RDD RDD
['*', 'p+', '-', '*', '*', '*', '*', '-'] LLU LLU
['-', '*', '*', 'a+', '*', '-', '*', 'c+'] LDD LDD
['d+', '*', '*', 'c+', 'r+', '-', '*', '-'] RDD RDD
['a+', '*', 'd+', 'a+', 'r+', '*', '-', '-'] RDD RDD
